"","V1"
"1"," traslada al gobierno vasco su proyecto y estrategia empresarial en euskadi la compañía tiene intención de desarrollar un plan estratégico que implica el compromiso de abrir  tiendas en euskadi y de generar  empleos estables e invertir más de  m en los próximos  años en el día de hoy ha comunicado al departamento de desarrollo económico y competitividad del gobierno vasco su plan estratégico a medio plazo para euskadi que supondrá importantes esfuerzos inversores y la generación de riqueza y empleoen el ámbito de su plan de expansión  abrirá  tiendas de formato supermercado durante los próximos seis años siendo la previsión de apertura de la primera tienda para finales de 2014 o principios de 2015 esto supondrá unas inversiones totales de aproximadamente  millones de euros durante dicho periodo la actividad de cada uno de estos supermercados por su parte generará  nuevos empleos estables lo que elevará el total de la plantilla de  en euskadi a más de  personas con contrato fijo en los próximos seis añospatricia cortizas directora territorial de relaciones externas de  ha detallado al ejecutivo vasco la intención de la compañía de colaborar con la dinamización de la economía y la creación de riqueza y empleo para ello  se compromete a realizar anualmente compras por valor de al menos  millones de euros a proveedores agroalimentarios y de servicios de euskadi que irán incrementándose con la apertura de nuevos supermercadosque  pueda contribuir al crecimiento social y económico de euskadi es una aspiración que todos los que formamos parte de este proyecto sentimos como un compromiso ha manifestado patricia cortizassobre  es una empresa de supermercados de capital íntegramente familiar que cuenta con cerca de  supermercados y dispone de una plantilla de más de  personas todas con contrato fijo que desarrollan su vida profesional en la compañía para satisfacer las necesidades de los más de  millones de hogares que depositan su confianza en la empresa realizando allí sus compras"
"2"," invierte  millones de euros y crea  nuevos puestos de trabajo fijos en 2012 la compañía reparte entre el conjunto de su plantilla  millones de euros  en concepto de prima por objetivos y  millones adicionales en concepto de compensación extraordinariala facturación crece un  porcentaje  hasta los  millones de eurosel beneficio neto se sitúa en  millones de euros un  porcentaje  más que en 2011 lo que representa un  porcentaje  de la cifra de ventasla compañía con el objetivo de potenciar el valor del sector primario de nuestro país va a continuar destinando importantes recursos y capacidades al desarrollo de una cadena agroalimentaria sosteniblesegún juan roig  va a continuar reforzando su apuesta por el empleo de calidad y como presidente de la compañía para mí es un orgullo poder decir que cualquier cajeroa o reponedora con más de cuatro años en  dispone de un salario que incluidas primas por objetivos supera los  euros netos al mes ha creado  nuevos puestos de trabajo directos en 2012 todos ellos fijos lo que eleva el total de su plantilla a  personas con ello la compañía ha reforzado el compromiso que mantiene con la generación de empleo estable y de calidad en nuestro país como demuestra el hecho de que a pesar del complicado contexto haya incorporado a un total de  nuevas personas a su plantilla durante los últimos cinco añosal cierre de 2012 y gracias tanto a la implicación del conjunto de sus trabajadoras y trabajadores como a la confianza demostrada por los clientes la compañía ha alcanzado una facturación de  millones de euros un  porcentaje  más que en 2011 también gracias a ello el crecimiento de ventas en superficie constante ha sido de un  porcentaje  además sus ventas en volumen han crecido un  porcentaje  hasta los  millones de kilos y litros kilitrosun año más  ha seguido incrementado su productividad con un crecimiento del  porcentaje  esta mejora sumada al esfuerzo de cuantos forman parte de la compañía y a las diferentes iniciativas puestas en marcha para mejorar la eficiencia ha permitido elevar el beneficio neto hasta los  millones de euros un  porcentaje  más que en 2011 cifra que representa un  porcentaje  de las ventasen el marco de vincular parte de su retribución a los beneficios y productividad de la compañía  ha repartido entre sus trabajadores  millones de euros en concepto de primas por objetivos a ello además ha de sumarse una compensación extraordinaria de  millones de euros que la compañía ha decidido igualmente repartir para neutralizar los efectos derivados de la subida de los tramos de retención del irpf con este reparto adicional  ha querido garantizar a todos sus trabajadores y trabajadoras al menos el mismo salario neto que percibieron en 2011según juan roig  va a continuar reforzando su apuesta por el empleo de calidad y como presidente de la compañía para mí es un orgullo poder decir que cualquier cajeroa o reponedora con más de cuatro años en  dispone de un salario que incluidas las primas por objetivos supera los  euros netos al mes apuesta por el sector primario y la cadena agroalimentaria sostenibleen 2012  ha puesto en marcha distintas iniciativas para incrementar su compromiso con el desarrollo de una cadena agroalimentaria sostenible de hecho la compañía viene trabajando desde hace años junto a sus interproveedores en este sentido con el objetivo de potenciar el valor del sector primario de nuestro país y vertebrar las economías locales aunque reconoce que queda todavía mucho por hacer en este sentidopara ello a lo largo del año se ha estrechado la colaboración con este sector alcanzando acuerdos estables con más de  agricultores  ganaderos y  cofradías de pescadores donde compra diariamente más de  toneladas de pescado de lonja además y dentro de la búsqueda constante de soluciones sostenibles para el sector primario también ha impulsado iniciativas concretas como por ejemplo la decisión conjunta con sus interproveedores lácteos de pagar  céntimos más por litro de leche adquirido a los ganaderos medida de la que se han beneficiado  ganaderos nacionales que suministran leche de la marca hacendadodentro de este compromiso prioritario con el sector primario en el que la compañía cree que existe una clara oportunidad de crecimiento y mejora  va a continuar destinando durante los próximos años importantes recursos y capacidades para contribuir al desarrollo de una cadena agroalimentaria sostenible en nuestro país debido a ello y dados los esfuerzos que se van a realizar durante los próximos años en este ámbito ha decidido aplazar su proyecto internacional temporalmente aunque seguirá estudiando cualquier oportunidad que pueda presentarse durante este tiempoel reto de la adaptación laboratorios y estrategia delantala lo largo de 2012 la compañía se ha seguido enfrentando a un reto que considera de especial importancia el de la adaptación de forma ágil y rápida a las necesidades de sus clientes para ello ha fomentado entre el conjunto de su plantilla la propuesta de nuevas ideas y proyectos que una vez analizados y testados con la colaboración de los clientes han permitido introducir mejoras de hecho la compañía ha puesto en marcha diversos laboratorios en sus supermercados espacios que ha diseñado para directamente a través de la experiencia con sus clientes introducir diversas mejoras de surtido servicio y procesos actualmente y centrada en el reto de potenciar su sección de productos frescos  cuenta con laboratorios específicos en sus secciones de horno pescadería fruta y verdura y carniceríainversiones 2012 y compromisos 2013en 2012 la inversión ha sido de  millones de euros cantidad que se ha destinado principalmente a la apertura de  nuevas tiendas hasta finalizar el año con un total de  supermercados netos además de ello la compañía ha destinado importantes recursos al equipamiento y reforma de  supermercados para adaptarlos a los estándares actuales de la empresa así como a la construcción del almacén satélite de fuerteventura las palmas y a la continuación de las obras de los bloques logísticos de guadix granada y de abrera barcelonapara 2013  tiene previsto mantener una inversión aproximada de  millones de euros que se destinarán fundamentalmente a la apertura de  nuevas tiendas la reforma de supermercados y a continuar con la construcción de los bloques logísticos de guadix granada y abrera barcelona además de ello la compañía tiene previsto crear  nuevos puestos de trabajo fijo directos así como iniciar la búsqueda de localizaciones para abrir su primera tienda en euskadi en el último trimestre de 2014 o principios de 2015según juan roig  va a continuar reforzando su compromiso con la generación de riqueza en españa a través de los hechos para ello vamos a destinar importantes recursos y capacidades al desarrollo de la cadena agroalimentaria sostenible asimismo vamos a mantener nuestra apuesta por ofrecer a nuestros  eljefe  más calidad por menos precio algo que entendemos es en tiempos como los actuales más importante que nunca para las economías familiares 20112012observacionestiendas1 tiendas netas  aperturas   cierresventas civa porcentaje unidades de venta kilitros porcentaje trabajador prima por objetivos trabajador compensación extraordinaria  impuestos beneficio neto porcentaje   porcentaje  sventasebitda porcentaje   porcentaje  sventascontribución tributaria porcentaje inversión porcentaje r propios porcentaje plantilla total de la compañía70 trabajadorases en millones de kiloslitros en millones de euros juan roig durante la presentación de resultados de  de 2012 juan roig y miembros del comité de dirección de  durante la presentación de resultados de  del 2012"
"3"," comunica al gobierno de ceuta su intención de implantarse en la ciudad autónoma la cadena de supermercados traslada al presidente de la ciudad que prevé tener al menos dos tiendas en el año 2018la cadena de supermercados  se ha reunido hoy con el presidente del gobierno de ceuta juan vivas para transmitirle su decisión de implantarse en la ciudad autónoma donde prevé tener al menos dos tiendas en 2018 dicho plan de expansión que se irá definiendo a medio plazo contribuirá a dinamizar la economía de la zona y responde a la política de la empresa de ir creciendo donde vea oportunidades y exista masa crítica de clientesel presidente de la ciudad autónoma juan vivas ha mostrado su disposición a colaborar en la materialización de un proyecto de inversión que según ha manifestado encaja en esa línea estratégica del gobierno a través de la que se pretende atender la demanda interna mejorando la oferta en calidad y precios evitar la fuga del consumo y atraer demanda externa para así cumplir con ese gran objetivo de crear riqueza y sobre todo empleosobre  es una empresa de supermercados de capital íntegramente nacional y familiar que alcanzó una facturación de  millones de euros en 2012 con  supermercados al día de hoy dispone de una plantilla de  personas todas con contrato fijo que desarrollan su vida profesional en la compañía para satisfacer las necesidades de los más de  millones de hogares que depositan su confianza en la empresa"
"4"," comunica al gobierno de melilla su intención de implantarse en la ciudad autónoma la cadena de supermercados traslada al presidente de la ciudad que prevé tener al menos dos tiendas en el año 2018la cadena de supermercados  se reunió ayer con el presidente del gobierno de melilla juan josé imbroda para darle a conocer su proyecto de implantación en la ciudad autónoma donde prevé tener al menos dos tiendas en 2018 dicho plan de expansión que se irá definiendo a medio plazo contribuirá a dinamizar la economía de la zona y responde a la política de la empresa de ir creciendo donde vea oportunidades y exista masa crítica de clientessobre  es una empresa de supermercados de capital íntegramente nacional y familiar que alcanzó una facturación de  millones de euros en 2012 con  supermercados al día de hoy dispone de una plantilla de  personas todas con contrato fijo que desarrollan su vida profesional en la compañía para satisfacer las necesidades de los más de  millones de hogares que depositan su confianza en la empresa"
"5"," pone en marcha su nuevo bloque logístico en guadix granada susana díaz presidenta de la junta de andalucía ha visitado hoy el bloque logístico acompañada por el presidente de  juan roigcon una inversión de  millones de euros cuenta con una plantilla de  trabajadores con contrato fijo según política de empresapara mejorar la manipulación del producto fresco la compañía instala un sistema innovador de almacenamiento y preparación automática con una inversión de  millones de euros ha puesto en marcha su onceavo bloque logístico en guadix granada este bloque se une a los que  actualmente tiene en funcionamiento en ribaroja de túria valencia antequera málaga sant sadurní danoia barcelona san isidro alicante huévar sevilla granadilla de abona tenerife santa cruz de tenerife ciempozuelos madrid ingenio gran canaria las palmas villadangos del páramo león y zaragoza zaragoza con la puesta en funcionamiento de este bloque logístico  dispone actualmente de aproximadamente  metros cuadrados destinados a garantizar la cadena de suministro de la compañía una red eficiente para transportar más con menos recursosen el día de hoy la presidenta de la junta de andalucía susana díaz ha visitado el bloque logístico que  tiene en el municipio de guadix granada díaz ha efectuado un recorrido por sus instalaciones acompañada por el presidente de  juan roig quien le ha explicado el funcionamiento de esta nueva plataforma en la región haciendo especial hincapié en la apuesta de la compañía por la idii con el objetivo de ser más eficientes y productivos creando para ello puestos de trabajo cualificados en sus almacenes reduciendo procesos de manipulación y eliminando sobreesfuerzos por parte de los trabajadores millones de euros de inversión y  puestos de trabajo fijos directosla inversión realizada por  para la puesta en marcha del bloque logístico de guadix supera los  millones de euros el proyecto ubicado en el parque empresarial príncipe felipe emplazamiento estratégico por estar en pleno nudo de comunicaciones se inició en el año 2005 en el año 2011 comenzaron sus obras donde han participado más de  trabajadores y  pymes en su construcciónel bloque logístico de guadix cuenta con una plantilla de  trabajadores todos ellos con contrato fijo según política de empresa que se suma a las  personas que desarrollan actualmente su vida profesional en la compañía ocupa una extensión de  metros cuadrados y consta de una nave de secos y una de frío así como de una nave de recogida y tratamiento de envases una fábrica de pan y un edificio de servicios por lo que la superficie construida total es de  metros cuadrados desde guadix se abastece a  supermercados de las provincias de granada almería y jaén de tal forma que en total se mueven hasta  palés al díaapuesta por la innovación ppg picking puente grúa aboga por la idii para evitar sobreesfuerzos en sus almacenes en el caso del bloque logístico de guadix la compañía ha dado un paso en este sentido con la instalación del denominado ppg picking puente grúa un sistema de almacenamiento y preparación automática de palés de carne fruta y verdura la parte principal es un sistema de robots que son los encargados de realizar el trabajo duro en todo el proceso desde la recepción de la mercancía hasta la formación de los palés que serán expedidos a las tiendas garantizando además que la mercancía llegue a los supermercados de tal forma que se evite una manipulación excesiva eliminando el sobreesfuerzo a la hora de desmontar los palés y garantizando y conservando la calidad y la calidez del productoel ppg que ha supuesto una inversión de  millones de euros tiene capacidad para mover hasta  cajas de productos frescos en sólo  horas acortando los plazos de entrega de la mercancía a las tiendas esta eficiencia en los procesos es clave para cumplir el objetivo de la compañía de garantizar la máxima frescura a los clientesel presidente de  juan roig ha agradecido a quienes han hecho posible que el bloque logístico de guadix sea hoy una realidad su esfuerzo e implicación destacando que es un paso importante de la compañíajuan roig también ha manifestado que es nuestra obligación como empresa adaptarnos constantemente a la realidad y crear con hechos las condiciones necesarias para contribuir al desarrollo económico y social reforzando nuestro compromiso si queremos que ocurran cosas diferentes y mejores hemos de seguir invirtiendo y tenemos que apostar por un sector primario productivo y eficiente esforzándonos para que ser agricultor pescador o ganadero sea un orgullo en andalucía y en españa dentro de la cadena agroalimentaria sostenible de "
"6"," y los sindicatos firman el nuevo convenio colectivo hasta 2018 se compromete a mantener el poder adquisitivo de su plantilla hasta 2018 y crear  empleosel convenio colectivo y el plan de igualdad entrarán en vigor el  de enero de 2014 y tendrán una vigencia de cinco añosel nuevo marco laboral apuesta por la creación de empleo estable la formación continua y una mayor conciliación de la vida familiar y laboraltodas las medidas acordadas permitirán consolidar la mejora de productividad del  porcentaje  alcanzada durante la vigencia del anterior convenio e implican a todas las partes en el crecimiento sostenible de la compañía ha firmado con los representantes de la unión general de trabajadores ugt y comisiones obreras ccoo el nuevo convenio de empresa y el plan de igualdad ambos entrarán en vigor el  de enero de 2014 y tendrán una duración de  añosambas partes están muy satisfechas de haber sido capaces de llegar a un acuerdo tras sólo  días de negociación en este sentido rafael caparrós en representación de ugt ha manifestado que durante los años de vigencia del pasado convenio hemos ido periódicamente trasladando a la compañía las diferentes demandas que nos transmitían nuestros compañeros y compañeras este diálogo es habitual entre la empresa y los representantes sindicales y creo que es una de las claves que ha hecho posible que el proceso negociador fuese tan ágilmás conciliación y estabilidad laboralel nuevo convenio colectivo refuerza los compromisos de  en materia de conciliación de la vida familiar y laboral como medidas pioneras incluye la ampliación de las reducciones de jornada por cuidado de hijos menores hasta los  años la ampliación de la excedencia por cuidado de hijos hasta que el menor cumpla los  años o la posibilidad de ampliar la excedencia hasta tres años en caso de violencia de géneroen cuanto a creación de empleo  con una plantilla actual de  trabajadoras y trabajadores se compromete a crear como mínimo  nuevos puestos de trabajo y a preservar el poder adquisitivo de su plantilla durante los cinco años de vigencia del convenio la empresa garantiza un incremento progresivo del salario base desvinculado de la inflación que pasará del  porcentaje  en 2014 hasta el  porcentaje  en 2018en términos salariales brutos como destaca yolanda carmona de ccoo hemos logrado consolidar qué cualquier trabajadora o trabajador de la compañía tenga un salario mensual de  euros nada más incorporarse a la empresala ratificación del este convenio colectivo para los próximos  años dota a  de la estabilidad para alcanzar a través de la productividad sus objetivos empresariales a medio y largo plazo el director de la división laboral de  francisco aparicio valora que con este acuerdo podremos dedicar todos nuestros esfuerzos a mejorar la productividad la excelencia en el servicio y la eficiencia de los procesos para entre cuantos formamos parte de  garantizar un crecimiento sostenible y poder compartirlo con los cinco componente de la compañía nuestros clientes trabajadores proveedores la sociedad y el capitalasimismo aparicio ha recordado que el cumplimiento de los compromisos acordados por todas las partes en el convenio anterior permitió a  junto a sus trabajadoras y trabajadores incrementar su productividad un  porcentaje  durante el periodo 20102013 este incremento es especialmente destacable si se considera que la compañía creo en dicho periodo más de  nuevos puestos de trabajo estamos convencidos de que las medidas acordadas en este nuevo convenio reforzará nuestra productividad clave para que una compañía perdure también ha firmado con los representantes sindicales el plan de igualdad con el que consolida su línea de actuación a favor de la igualdad de oportunidades como pone de manifiesto el hecho de que actualmente más de un  porcentaje  del personal directivo de la compañía sean mujeres desde 1993 año en el que  inició la implantación de su modelo de calidad total la compañía no sólo ha potenciado la práctica de la igualdad entre mujeres y hombres en el acceso al empleo a la formación y la promoción interna sino también en el ámbito de la conciliación de la vida familiar y laboral como la comisión de igualdad ha constatado durante la vigencia del anterior plan"
"7","la facturación de  crece un  porcentaje  y alcanza los  millones de euros en 2013 el crecimiento compartido de la compañía con el país se refleja en que más del  porcentaje  de sus compras son productos españoles y en que su contribución tributaria de  millones de euros crece un  porcentaje el beneficio neto se sitúa en  millones de euros un  porcentaje  más que en 2012 lo que representa un  porcentaje  de la cifra de ventassu plantilla incrementa la productividad un  porcentaje  y la compañía cumpliendo la premisa de compartir el beneficio con sus trabajadores reparte  millones de euros en prima por objetivosla política retributiva de la compañía permite que un cajero o cajera reponedor o reponedora con más de  años tenga un salario neto de  euros al mes afronta el reto de desplegar su cadena agroalimentaria sostenible durante los próximos  años una verdadera innovación de su modelo de negocio ha incrementado en 2013 su facturación un  porcentaje  hasta alcanzar los  millones de euros al cierre del año el beneficio de la compañía ha sido de  millones de euros cifra que supone un  porcentaje  de la cifra de ventas también las ventas por volumen han aumentado un  porcentaje  hasta los  millones de kilos y litros kilitros gracias a la confianza depositada por los más de  millones de hogares que realizan la compra en sus supermercadosla actividad generada por  ha contribuido a fomentar el desarrollo económico y social de nuestro país en 2013 como demuestra el hecho de que el  porcentaje  de sus compras sean de productos y servicios españoles más de  millones de euros además de ello la compañía también ha reforzado su contribución tributaria a la economía de nuestro país por medio del pago de los tributos directos e indirectos que realiza y que en 2013 ha ascendido a  millones de euros un  porcentaje  más que en el ejercicio tributario anterior de este total  millones de euros corresponden a la seguridad social  al impuesto de sociedades cantidad que supone una tributación del  porcentaje  de sus beneficios  a la recaudación del iva y del irpf y  a otros impuestos y tasasprecios estables para contribuir al ahorro familiarun año más el conjunto de la plantilla  trabajadoras y trabajadores con contratos estables y de calidad ha mejorado su productividad un  porcentaje  la implicación y el compromiso de sus empleados ha permitido cumplir con los distintos objetivos marcados por la compañía motivo por el que dentro de su política de retribución variable vinculada a la consecución de resultados ha decidido repartir entre sus trabajadores más de  millones de euros en concepto de prima por objetivoslas mejoras de productividad y eficiencia alcanzadas en todos los ámbitos han contribuido a confirmar al cierre de 2013 el diferencial de precios de  respecto al resto del mercado este esfuerzo de la compañía ha contribuido a mantener una inflación moderada en españa con unos precios que durante todo el año se han situado por debajo de la media anual del ipc de alimentación de hecho la compañía ha adquirido el compromiso de seguir en 2014 contribuyendo a que los hogares españoles nuestros  eljefe  sigan disponiendo de una cesta de la compra de calidad y a bajos preciosimplantación de nuevas secciones de frescosen 2013 la compañía ha empezado a implantar su nuevo modelo de venta de productos frescos que incluye cuatro secciones horno pescadería fruta y verdura carnicería y charcutería en las que se realiza un tratamiento individualizado de cada producto con una gestión diferente a la de los productos secos para ello se ha formado a más de  trabajadores en distintos oficios de frescos con una inversión que ha superado los  millones de euros se prevé que a finales de 2014 más de  trabajadores se hayan formado como tenderos con una inversión superior a los  millones de eurosal cierre de 2013 el nuevo modelo de pescadería se pudo implantar en todos los supermercados de la compañía el de fruta y verdura en  tiendas el de horno en  y los de carne y charcutería en  esta apuesta por el nuevo modelo de venta de productos frescos continua avanzando durante 2014 y actualmente todos los supermercados de la cadena han implantado la nueva sección de fruta y verdura mientras que en el mes de mayo la nueva sección de carnicería y charcutería estará en  tiendas y en junio toda la cadena dispondrá de la nueva sección de hornoapuesta por el sector primario y la cadena agroalimentaria sostenible de en 2013  ha seguido trabajando estrechamente con todos los eslabones de la cadena para avanzar en su compromiso con el desarrollo de una cadena agroalimentaria sostenible de  que genere crecimiento en el sector hortofrutícola pesquero y ganadero de nuestro país que forman dicho proyecto para ello y dentro de su objetivo de siempre que sea viable utilizar materia prima con origen español ha alcanzado nuevos acuerdos de colaboración con el sector primario que han permitido que al cierre de 2013 la compañía mantenga vínculos estrechos con  agricultores  ganaderos y  pescadores de  lonjas a las que pertenecen diversas organizaciones y cofradías de pescadores de diferentes puntos de españapara juan roig 2013 ha sido un año de inflexión en  en el que hemos puesto las bases de lo que queremos ser como compañía en los próximos  años ahora toca reinventarnos de nuevo para poner en marcha en  una cadena agroalimentaria sostenible esta sostenibilidad implica la satisfacción de los cinco componentes de toda la cadena de los clientes los trabajadores los proveedores el capital y la sociedad para poner en valor el trabajo de nuestros agricultores pescadores y ganaderos y poder ofrecer un gran surtido de productos frescos de gran calidad al mejor precio posible y este gran cambio tiene un origen nos lo piden nuestros  eljefe  y es una obligación para nuevo convenio colectivo incremento del salario base del  porcentaje  respecto al anteriorotro de los principales hitos alcanzados por la compañía en 2013 ha sido la firma del nuevo convenio de empresa y del plan de igualdad con los representantes de la unión general de trabajadores ugt y de comisiones obreras ccoo el nuevo convenio tiene una duración de cinco años y en él  se ha comprometido a crear  nuevos empleos estables y de calidad hasta 2018 además de mantener el poder adquisitivo de su plantillasegún juan roig si hay algo en lo que firmemente creo es que el crecimiento de una empresa pasa por reconocer la implicación de sus trabajadores y compartir con ellos el beneficio generado yo siempre he manifestado que la solución es aumentar la productividad y no bajar salarios en esa creencia se basa nuestra política retributiva que permite que cualquier cajera cajero reponedora o reponedor de la compañía con más de cuatro años de antigüedad el  porcentaje  de la plantilla actual disponga de un salario de  euros netos al mes al que hay que sumar en su caso dos mensualidades más de primas por objetivos hecho que supone para mí un claro orgullo y que además nos permite consolidarnos año tras año como una empresa de alto rendimientoinversiones 2013 y compromisos 2014en 2013 la inversión ha sido de  millones de euros cantidad que se ha destinado principalmente a la apertura de  nuevas tiendas hasta finalizar el año con un total de  supermercados y la reforma de  supermercados para adaptarlos a los estándares actuales de la empresa así como a la construcción del bloque logístico ya inaugurado de guadix granada y al de abrera barcelona actualmente en construcción para 2014  tiene previsto mantener una inversión aproximada de  millones de euros que se destinarán fundamentalmente a la apertura de  nuevas tiendas la reforma de supermercados y continuar con la construcción del bloque logístico de abrera barcelona algunos hechos relevantes en 2013 20122013observacionestiendas1 tiendas netas  aperturas   cierresventas civa porcentaje unidades de venta kilitros porcentaje compartir beneficio total generado   trabajador prima por objetivos porcentaje beneficio neto porcentaje   porcentaje  sventascontribución tributaria porcentaje inversiónr propios porcentaje plantilla total de la compañía74 en millones de euros en millones de kiloslitrosjuan roig durante la presentación de resultados de  de 2013 juan roig y miembros del comité de dirección de  durante la presentación de resultados de  de 2013 memoria anual 2013descargar   "
"8"," apuesta por la innovación sus interproveedores duplican la media de recursos en idi  clientes participaron en los procesos de  coinnovación  de la compañía en 2013el porcentaje de técnicos cualificados que las empresas interproveedoras de  destinan a la investigación desarrollo y la innovación es prácticamente el doble que el del conjunto de personas que se dedican en españa a esta actividadde acuerdo con los datos recogidos por la estadística sobre actividades en id del instituto nacional de estadística ine en españa en 2012 había  personas ocupadas de las que  porcentaje   trabajadores se dedican actividades de idi este porcentaje contrasta con el de  porcentaje  de media de los interproveedores de  que con una plantilla en 2012 de  personas destinó un total de  personas a dicha actividaden el caso de los interproveedores de  las  personas que destinan a idi son de una formación muy diversa y multidisciplinar al estar sus equipos compuestos por técnicos de laboratorio desarrollo de producto ingenieros físicos químicos así como aquellos que realizan investigaciones para mejorar y desarrollar nuevos productosen 2013 y gracias a esta relación de confianza y trabajo conjunto los interproveedores de  han realizado inversiones por valor de  millones de euros mientras que la inversión acumulada en los últimos cinco años ha superado los  millones de euros innovaciones  y mejoras de productos en 2013para  la apuesta conjunta por el idi es un factor clave de competitividad por ello la compañía desarrolla desde hace años un modelo propio de innovación transversal que destina importantes recursos para introducir innovaciones tanto de producto como de procesos tecnología y conceptosuno de los aspectos diferenciales de su idi es la  coinnovación  que implica la colaboración en dichos procesos de mejora de un importante número de clientes lo que garantiza que las mejoras introducidas responden totalmente a sus necesidades en 2013 fueron  los clientes que aportaron sus sugerencias y compartieron sus experiencias en los  centros de  coinnovación  que la compañía tiene en el interior de algunos de sus supermercados lo que permitió introducir más de  novedades que a lo largo del año tuvieron una gran aceptación cuenta con   empresas interproveedoras con las que tiene una relación estable de cooperación y confianza lo que según la compañía les permite avanzar de manera conjunta en un doble objetivo obtener el producto con la mejor calidad y al precio más económico del mercadolos interproveedores suministran productos bajo las marcas propias como hacendado bosque verde deliplus y compy gracias precisamente a su compromiso con la innovación han conseguido no solo consolidarse como marcas de calidad sino convertir muchos de sus productos en una de las referencias de su segmento como es el caso por ejemplo de las perlas de mozzarella desarrolladas por el interproveedor quesería lafuente gracias a las aportaciones de los clientes de su departamento de idi y la colaboración del itc packaging han desarrollado un envase con una cesta que permite mejorar su apertura su mantenimiento y sus condiciones de higiene además han alcanzado unas ventas de   unidades al día"
"9"," reparte un  porcentaje  de sus beneficios entre sus trabajadores desde el año 2000 cuando tomó la decisión de vincular los salarios a la productividad la compañía ha repartido más de  millones de euros en primas entre su plantilla y ha incrementado su productividad un  porcentaje  de media cada año ha repartido entre el conjunto de su plantilla  millones de euros en concepto de primas por objetivos en el año 2013 esta cifra representa un  porcentaje  de los beneficios alcanzados por la compañía en dicho año la prima se ha repartido entre el  porcentaje  de la plantilla como reconocimiento al esfuerzo y trabajo realizado así como a su contribución a las mejoras de productividad y eficiencia obtenidas por los trabajadores en 2013en el año 2000  tomó la decisión de vincular los salarios de su plantilla a la evolución obtenida por la  compañía motivo por el que en 2001 se puso en marcha la prima por objetivos por medio de esta iniciativa desde dicha fecha y siempre que se alcancen los objetivos tanto marcados para la empresa como para cada trabajador  reparte esta prima entre sus empleados desde entonces se han entregado más de  millones de euros de primas entre la plantilla y fruto de su trabajo y esfuerzo se ha conseguido incrementar un  porcentaje  de media anual la productividadlos empleados que tienen entre  y  años de antigüedad en la empresa han recibido una prima de un mes mientras que para aquellas personas cuya antigüedad supera los  años la prima ha sido de dos mensualidades un trabajador base de  con cuatro años de antigüedad cobra  euros mensuales y una prima de dos mensualidades que asciende a  euros a finales del ejercicio 2013  contaba con una plantilla de  personas de las cuales el  porcentaje  tenía una antigüedad de más de cinco años"
"10"," finaliza la implantación de la nueva sección de horno en todos sus supermercados con un nuevo surtido y una mayor presencia del producto local la nueva sección busca adaptarse mejor a las necesidades del clientela compañía ha destinado más de  millones de euros para mejorar la sección y para formar a  trabajadores tendrá disponible a partir del  de junio de 2014 la nueva sección de horno en todos los supermercados de la cadena este movimiento forma parte de la estrategia de la compañía de impulsar su nuevo modelo de venta de productos frescos con nuevas secciones de pescado de lonja fruta y verdura de proximidad horno a granel y carne y charcutería al corteen el caso de la nueva sección del horno se ofrece un tratamiento más personalizado con la venta y el surtido a granel para que cada  eljefe  como internamente se denomina en  al cliente se fabrique su compra con las cantidades y surtido que desee garantizándole la máxima calidad y frescura al mejor precio en la sección del horno se han introducido cambios como la mejora del punto de cocción la utilización del mejor envase según el tamaño y la fragilidad del producto todo ello garantizando la frescura de los productos al díala sección incluye un amplio surtido de panes especialidades saladas y dulces pastelitos dulces y tartas el surtido se ha adaptado además a los gustos y preferencias de cada localidad y cada zona geográfica dispone de referencias generales pero también productos específicos y localesen abril de 2013 se empezó a implantar en  la nueva sección de horno que ha requerido la formación de  trabajadores para ampliar sus conocimientos en la gestión de la sección y el punto óptimo de cocción de los productos lo que ha supuesto una inversión en formación de alrededor de  millón de eurospara poder llevar a cabo los cambios que se han realizado progresivamente durante más de un año hasta llegar a todos los supermercados de la compañía ha sido necesario ampliar el espacio de la sección e incorporar nuevo mobiliario para la venta a granel del pan y la bollería nuevas balanzas mesas expositoras dispensadores de bolsas y guantes así como otros utensilios para la sección de esta manera el  eljefe  puede seleccionar directamente el producto y la cantidad y realizar así una compra más adaptada a sus necesidadesla inversión en el equipamiento y mobiliarios además de los cambios realizados en las instalaciones de las tiendas han supuesto una inversión superior a los  millones de euros que junto con el millón de euros destinado a formación da una inversión total de  millones de eurosformación e implantación de los nuevos modelos de frescosen los últimos meses  ha continuado trabajando para mejorar las diferentes secciones de frescos y formando a sus panaderos pescaderos fruteros carniceros y charcuteros en total  trabajadores con el objetivo de recuperar la figura del tendero y ofrecer al cliente la referencia personal y cercana que éstos solicitaban a este proceso de formación  tiene previsto destinar  millones de euros hasta finales del 2014respecto a la implantación progresiva de los nuevos modelos de venta de productos frescos de  la primera fue la nueva sección de pescadería con pescado fresco de lonja que estuvo en toda la cadena el pasado septiembre de 2013 la sección de fruta y verdura de proximidad finalizó su implantación el pasado mes de marzo en el caso de la nueva sección de horno estará disponible a partir del  de junio en todos los supermercados de la compañía en cuanto al mostrador de carne y charcutería al corte en fase laboratorio está actualmente en  supermercados"
