"","year","word"
"1","2013","traslada"
"2","2013","gobierno"
"3","2013","vasco"
"4","2013","proyecto"
"5","2013","estrategia"
"6","2013","empresarial"
"7","2013","euskadi"
"8","2013","compañía"
"9","2013","intención"
"10","2013","desarrollar"
"11","2013","plan"
"12","2013","estratégico"
"13","2013","implica"
"14","2013","compromiso"
"15","2013","abrir"
"16","2013","tiendas"
"17","2013","euskadi"
"18","2013","generar"
"19","2013","empleos"
"20","2013","estables"
"21","2013","invertir"
"22","2013","m"
"23","2013","próximos"
"24","2013","años"
"25","2013","día"
"26","2013","hoy"
"27","2013","comunicado"
"28","2013","departamento"
"29","2013","desarrollo"
"30","2013","económico"
"31","2013","competitividad"
"32","2013","gobierno"
"33","2013","vasco"
"34","2013","plan"
"35","2013","estratégico"
"36","2013","medio"
"37","2013","plazo"
"38","2013","euskadi"
"39","2013","supondrá"
"40","2013","importantes"
"41","2013","esfuerzos"
"42","2013","inversores"
"43","2013","generación"
"44","2013","riqueza"
"45","2013","empleoen"
"46","2013","ámbito"
"47","2013","plan"
"48","2013","expansión"
"49","2013","abrirá"
"50","2013","tiendas"
"51","2013","formato"
"52","2013","supermercado"
"53","2013","próximos"
"54","2013","seis"
"55","2013","años"
"56","2013","previsión"
"57","2013","apertura"
"58","2013","primera"
"59","2013","tienda"
"60","2013","finales"
"61","2013","2014"
"62","2013","principios"
"63","2013","2015"
"64","2013","supondrá"
"65","2013","unas"
"66","2013","inversiones"
"67","2013","totales"
"68","2013","aproximadamente"
"69","2013","millones"
"70","2013","euros"
"71","2013","dicho"
"72","2013","periodo"
"73","2013","actividad"
"74","2013","cada"
"75","2013","supermercados"
"76","2013","parte"
"77","2013","generará"
"78","2013","nuevos"
"79","2013","empleos"
"80","2013","estables"
"81","2013","elevará"
"82","2013","total"
"83","2013","plantilla"
"84","2013","euskadi"
"85","2013","personas"
"86","2013","contrato"
"87","2013","fijo"
"88","2013","próximos"
"89","2013","seis"
"90","2013","añospatricia"
"91","2013","cortizas"
"92","2013","directora"
"93","2013","territorial"
"94","2013","relaciones"
"95","2013","externas"
"96","2013","detallado"
"97","2013","ejecutivo"
"98","2013","vasco"
"99","2013","intención"
"100","2013","compañía"
"101","2013","colaborar"
"102","2013","dinamización"
"103","2013","economía"
"104","2013","creación"
"105","2013","riqueza"
"106","2013","empleo"
"107","2013","ello"
"108","2013","compromete"
"109","2013","realizar"
"110","2013","anualmente"
"111","2013","compras"
"112","2013","valor"
"113","2013","menos"
"114","2013","millones"
"115","2013","euros"
"116","2013","proveedores"
"117","2013","agroalimentarios"
"118","2013","servicios"
"119","2013","euskadi"
"120","2013","irán"
"121","2013","incrementándose"
"122","2013","apertura"
"123","2013","nuevos"
"124","2013","supermercadosque"
"125","2013","pueda"
"126","2013","contribuir"
"127","2013","crecimiento"
"128","2013","social"
"129","2013","económico"
"130","2013","euskadi"
"131","2013","aspiración"
"132","2013","formamos"
"133","2013","parte"
"134","2013","proyecto"
"135","2013","sentimos"
"136","2013","compromiso"
"137","2013","manifestado"
"138","2013","patricia"
"139","2013","cortizassobre"
"140","2013","empresa"
"141","2013","supermercados"
"142","2013","capital"
"143","2013","íntegramente"
"144","2013","familiar"
"145","2013","cuenta"
"146","2013","cerca"
"147","2013","supermercados"
"148","2013","dispone"
"149","2013","plantilla"
"150","2013","personas"
"151","2013","todas"
"152","2013","contrato"
"153","2013","fijo"
"154","2013","desarrollan"
"155","2013","vida"
"156","2013","profesional"
"157","2013","compañía"
"158","2013","satisfacer"
"159","2013","necesidades"
"160","2013","millones"
"161","2013","hogares"
"162","2013","depositan"
"163","2013","confianza"
"164","2013","empresa"
"165","2013","realizando"
"166","2013","allí"
"167","2013","compras"
"168","2013","invierte"
"169","2013","millones"
"170","2013","euros"
"171","2013","crea"
"172","2013","nuevos"
"173","2013","puestos"
"174","2013","trabajo"
"175","2013","fijos"
"176","2013","2012"
"177","2013","compañía"
"178","2013","reparte"
"179","2013","conjunto"
"180","2013","plantilla"
"181","2013","millones"
"182","2013","euros"
"183","2013","concepto"
"184","2013","prima"
"185","2013","objetivos"
"186","2013","millones"
"187","2013","adicionales"
"188","2013","concepto"
"189","2013","compensación"
"190","2013","extraordinariala"
"191","2013","facturación"
