year,word,lemmatized_word
2013,traslada,trasladar
2013,gobierno,gobierno
2013,vasco,vasco
2013,proyecto,proyecto
2013,estrategia,estrategia
2013,empresarial,empresarial
2013,euskadi,euskadi
2013,compañía,compañía
2013,intención,intención
2013,desarrollar,desarrollar
2013,plan,plan
2013,estratégico,estratégico
2013,implica,implicar
2013,compromiso,compromiso
2013,abrir,abrir
2013,tiendas,tienda
2013,euskadi,euskadi
2013,generar,generar
2013,empleos,empleo
2013,estables,estable
2013,invertir,invertir
2013,m,m
2013,próximos,próximo
2013,años,año
2013,día,día
2013,hoy,hoy
2013,comunicado,comunicado
2013,departamento,departamento
2013,desarrollo,desarrollo
2013,económico,económico
2013,competitividad,competitividad
2013,gobierno,gobierno
2013,vasco,vasco
2013,plan,plan
2013,estratégico,estratégico
2013,medio,medio
2013,plazo,plazo
2013,euskadi,euskadi
2013,supondrá,suponer
2013,importantes,importante
2013,esfuerzos,esfuerzo
2013,inversores,inversor
2013,generación,generación
2013,riqueza,riqueza
2013,empleoen,empleoen
2013,ámbito,ámbito
2013,plan,plan
2013,expansión,expansión
2013,abrirá,abrir
2013,tiendas,tienda
2013,formato,formato
2013,supermercado,supermercado
2013,próximos,próximo
2013,seis,seis
2013,años,año
2013,previsión,previsión
2013,apertura,apertura
2013,primera,primero
2013,tienda,tiendar
2013,finales,final
2013,2014,2014
2013,principios,principio
2013,2015,2015
2013,supondrá,suponer
2013,unas,uno
2013,inversiones,inversión
2013,totales,total
2013,aproximadamente,aproximadamente
2013,millones,millón
2013,euros,euros
2013,dicho,decir
2013,periodo,periodo
2013,actividad,actividad
2013,cada,cada
2013,supermercados,supermercado
2013,parte,parte
2013,generará,generar
2013,nuevos,nuevo
2013,empleos,empleo
2013,estables,estable
2013,elevará,elevar
2013,total,total
2013,plantilla,plantilla
2013,euskadi,euskadi
2013,personas,persona
2013,contrato,contrato
2013,fijo,fijo
2013,próximos,próximo
2013,seis,seis
2013,añospatricia,añospatricia
2013,cortizas,cortiza
2013,directora,director
2013,territorial,territorial
2013,relaciones,relación
2013,externas,externo
2013,detallado,detallado
2013,ejecutivo,ejecutivo
2013,vasco,vasco
2013,intención,intención
2013,compañía,compañía
2013,colaborar,colaborar
2013,dinamización,dinamización
2013,economía,economía
2013,creación,creación
2013,riqueza,riqueza
2013,empleo,empleo
2013,ello,él
2013,compromete,comprometer
2013,realizar,realizar
2013,anualmente,anualmente
2013,compras,compra
2013,valor,valor
2013,menos,menos
2013,millones,millón
2013,euros,euros
2013,proveedores,proveedor
2013,agroalimentarios,agroalimentario
2013,servicios,servicio
2013,euskadi,euskadi
2013,irán,ir
2013,incrementándose,incrementar él
2013,apertura,apertura
2013,nuevos,nuevo
2013,supermercadosque,supermercadosque
2013,pueda,poder
2013,contribuir,contribuir
2013,crecimiento,crecimiento
2013,social,social
2013,económico,económico
2013,euskadi,euskadi
2013,aspiración,aspiración
2013,formamos,formar
